"weekEnding,ne,enc,c,se,wnc,s,sw,nw,w,nat,neAnom,encAnom,cAnom,seAnom,wncAnom,sAnom,swAnom,nwAnom,wAnom,natAnom"
"20131214,25.49,10.91,29.61,51.19,10.30,38.54,28.52,21.54,32.97,28.04,-2.21,-8.95,-3.83,3.74,-10.16,-5.20,-4.65,-7.04,-5.51,-5.20"
"20131221,25.41,12.69,32.35,51.05,14.87,41.99,31.47,24.84,35.82,30.75,-2.29,-7.17,-1.09,3.60,-5.59,-1.75,-1.70,-3.74,-2.66,-2.49"
"20131228,26.92,14.00,32.77,51.12,17.18,41.81,32.34,27.06,37.92,31.82,-0.78,-5.86,-0.67,3.67,-3.28,-1.93,-0.83,-1.52,-0.56,-1.42"
"20131231,26.33,13.36,32.34,50.67,17.48,41.70,32.72,27.64,38.55,31.83,-1.37,-6.50,-1.10,3.22,-2.98,-2.04,-0.45,-0.94,0.07,-1.41"
"20140104,18.24,8.32,27.35,44.62,19.63,40.83,35.10,32.25,42.40,31.05,-3.90,-7.11,-2.95,-0.58,-0.09,-1.75,1.78,2.55,3.43,-0.77"
"20140111,19.84,6.06,24.43,43.03,18.23,39.00,33.75,33.01,43.54,29.91,-2.30,-9.37,-5.87,-2.17,-1.49,-3.58,0.43,3.31,4.57,-1.91"
"20140118,25.31,12.16,27.76,44.01,23.18,41.88,35.44,34.51,44.72,32.97,3.17,-3.27,-2.54,-1.19,3.46,-0.70,2.12,4.81,5.75,1.15"
"20140125,21.96,11.33,25.96,42.21,23.95,41.27,35.62,33.80,45.15,32.35,-0.18,-4.10,-4.34,-2.99,4.23,-1.31,2.30,4.10,6.18,0.53"
"20140131,20.91,9.99,25.05,41.32,22.35,40.67,35.71,33.28,44.98,31.59,-1.23,-5.44,-5.25,-3.88,2.63,-1.91,2.39,3.58,6.01,-0.23"
"20140201,24.29,18.31,33.11,47.54,22.75,45.97,37.21,32.65,42.54,34.92,-0.80,-1.57,-1.29,-1.08,-0.58,-0.63,0.40,0.20,0.76,-0.49"
"20140208,22.53,7.47,23.99,50.57,7.79,34.90,31.40,24.38,39.94,27.12,-2.56,-12.41,-10.41,1.95,-15.54,-11.70,-5.41,-8.07,-1.84,-8.29"
"20140215,19.94,7.22,22.69,47.38,14.02,37.73,37.37,30.46,45.55,29.84,-5.15,-12.66,-11.71,-1.24,-9.31,-8.87,0.56,-1.99,3.77,-5.57"
"20140222,21.55,11.55,27.66,49.40,18.87,43.11,39.87,32.26,46.37,33.35,-3.54,-8.33,-6.74,0.78,-4.46,-3.49,3.06,-0.19,4.59,-2.06"
"20140228,20.54,9.19,26.98,48.81,16.63,43.22,40.51,33.01,46.75,32.82,-4.55,-10.69,-7.42,0.19,-6.70,-3.38,3.70,0.56,4.97,-2.59"
"20140301,32.19,28.29,42.16,54.75,30.50,53.78,44.25,38.71,47.57,42.48,-1.18,-2.77,-1.41,-0.28,-2.13,-0.43,0.86,0.47,0.91,-0.65"
"20140308,22.97,17.04,33.37,50.38,26.87,44.74,46.68,43.24,51.72,38.47,-10.40,-14.02,-10.20,-4.65,-5.76,-9.47,3.29,5.00,5.06,-4.66"
"20140315,27.24,24.04,38.96,52.87,33.35,49.46,46.84,43.39,51.99,42.09,-6.13,-7.02,-4.61,-2.16,0.72,-4.75,3.45,5.15,5.33,-1.04"
"20140322,27.47,24.50,39.47,52.89,33.11,50.55,46.36,41.85,51.64,42.14,-5.90,-6.56,-4.10,-2.14,0.48,-3.66,2.97,3.61,4.98,-0.99"
"20140329,26.57,23.16,38.17,52.07,31.79,50.55,46.18,41.47,51.12,41.45,-6.80,-7.90,-5.40,-2.96,-0.84,-3.66,2.79,3.23,4.46,-1.68"
"20140331,27.00,23.42,38.57,52.46,31.57,50.94,46.00,41.27,50.64,41.53,-6.37,-7.64,-5.00,-2.57,-1.06,-3.27,2.61,3.03,3.98,-1.60"
"20140405,45.14,41.91,54.50,64.25,39.98,64.02,50.47,43.75,49.54,51.46,-0.09,-2.78,0.59,2.19,-3.07,1.73,-0.01,0.04,-2.13,-0.31"
"20140412,46.00,45.14,54.89,63.51,44.97,63.15,53.56,48.12,56.06,53.74,0.77,0.45,0.98,1.45,1.92,0.86,3.08,4.41,4.39,1.97"
"20140419,45.46,42.09,53.56,62.18,42.80,60.88,52.72,47.59,56.96,52.34,0.23,-2.60,-0.35,0.12,-0.25,-1.41,2.24,3.88,5.29,0.57"
"20140426,45.26,42.46,54.09,62.33,44.08,62.23,53.43,46.54,55.99,52.81,0.03,-2.23,0.18,0.27,1.03,-0.06,2.95,2.83,4.32,1.04"
"20140430,44.99,41.94,53.85,62.50,43.53,61.81,52.61,46.69,55.96,52.47,-0.24,-2.75,-0.06,0.44,0.48,-0.48,2.13,2.98,4.29,0.70"
"20140503,54.86,53.49,62.38,70.41,51.71,69.35,58.26,52.69,61.43,60.15,-0.85,-2.61,-0.69,0.67,-1.34,-1.39,-1.37,1.68,1.75,-0.64"
"20140510,56.31,55.03,67.16,72.62,51.24,73.47,60.36,51.29,59.86,61.81,0.60,-1.07,4.09,2.88,-1.81,2.73,0.73,0.28,0.18,1.02"
"20140517,58.50,53.08,64.85,72.00,49.36,70.19,58.36,53.33,61.61,60.61,2.79,-3.02,1.78,2.26,-3.69,-0.55,-1.27,2.32,1.93,-0.18"
"20140524,57.51,54.37,64.40,71.16,51.79,70.82,59.37,53.97,61.04,61.17,1.80,-1.73,1.33,1.42,-1.26,0.08,-0.26,2.96,1.36,0.38"
"20140531,57.36,56.49,65.28,71.32,53.94,70.93,60.31,53.91,61.79,62.00,1.65,0.39,2.21,1.58,0.89,0.19,0.68,2.90,2.11,1.21"
